ID	Acct_Sched	Asset_Seq_Nbr	OEC_on_Asset	Residual	Depreciation_Type	Depreciation_Cnt	Tax_Inservice_Date	Salvage_Amt	Date_In_Service	Funding_Date	Asset_Cap_Fees	
92	7513862004	0003	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
93	7513862004	0004	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
94	7513862004	0005	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
95	7513862004	0006	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
96	7513862004	0007	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
97	7513862004	0008	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
98	7513862004	0009	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
99	7513862004	0010	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
100	7513862004	0011	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
101	7513862004	0012	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
102	7513862004	0013	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
103	7513862004	0014	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
104	7513862004	0015	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
105	7513862004	0016	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
106	7513862004	0017	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
107	7513862004	0018	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
108	7513862004	0019	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
109	7513862004	0020	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
110	7513862004	0021	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
111	7513862004	0022	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
112	7513862004	0023	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
113	7513862004	0024	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
114	7513862004	0025	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
115	7513862004	0026	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
116	7513862004	0027	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
117	7513862004	0028	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
118	7513862004	0029	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
119	7513862004	0030	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
120	7513862004	0031	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
121	7513862004	0032	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
122	7513862004	0033	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
123	7513862004	0034	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
124	7513862004	0035	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
125	7513862004	0036	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
126	7513862004	0037	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
127	7513862004	0038	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
128	7513862004	0039	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
129	7513862004	0040	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
130	7513862004	0041	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
131	7513862004	0042	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
132	7513862004	0043	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
133	7513862004	0044	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
134	7513862004	0045	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
135	7513862004	0046	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
136	7513862004	0047	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
137	7513862004	0048	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
138	7513862004	0049	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
139	7513862004	0050	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
140	7513862004	0051	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
141	7513862004	0052	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
142	7513862004	0053	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
143	7513862004	0054	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
144	7513862004	0055	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
145	7513862004	0056	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
146	7513862004	0057	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
147	7513862004	0058	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
148	7513862004	0059	1131.52	0.00	16	0	08/27/2010	0.00	8/27/2010	8/27/2010	0.00	
149	7631177001	0001	1441.99	149.97	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
